FirstName,SecondName,4-LetterCode
Greater White-fronted,Goose,GWFG
Greater,Yellowlegs,GRYE
Green,Hermit,GREH
Green,Heron,GRHE
Green,Honeycreeper,GRHO
Green,Ibis,GRIB
Green,Jay,GRJA
Green,Kingfisher,GKIN
Green,Manakin,GMAK
Green,Mango,GMAG
Green,Parakeet,GREP
Green,Sandpiper,GRSA
Green,Shrike-Vireo,GRSV
Green,Thorntail,GRET
Green-and-rufous,Kingfisher,GARK
Green-backed,Sparrow,GBSP
Green-breasted,Mango,GNBM
Green-breasted,Mountain-gem,GBMG
Green-crowned,Brilliant,GCBR
